ID,Authors,Title,Venue,Venue Type,Year,Source (query/snowballing),Origin Paper,Snowballing Direction: (F)oward or (B)ackwards,Read Title?,Read Abstract?,Read Whole?,Inclusion Criterion 1,Inclusion Criterion 2,Exclusion Criterion 1,Exclusion Criterion 2,Exclusion Criterion 3,Exclusion Criterion 4,Exclusion Criterion 5,Exclusion Criterion 6,Exclusion Criterion 7,Snowballing applied?,Notes
504,"Mikic-Rakic M. , Medvidovic N. ,","A style-aware architectural middleware for resource-constrained, distributed systems",IEEE Trans. Softw. Eng,,2005,S,218,B,o,,,,,,,,,,,,,
505,"Mikic-Rakic M. , Medvidovic N. ,",Reconceptualizing a family of heterogeneous embedded systems via explicit architectural support,In: ICSE. IEEE Computer Society,,2007,S,218,B,o,,,,,,,,,,,,,
506,"Hansen K.M. ,",Software ecosystems - a systematic literature review,J. Syst. Softw,,2013,S,218,B,o,,,,,,,,,,,,,
507,"Babri H. ,",Hierarchical clustering for software architecture recovery,IEEE Trans. Softw. Eng,,2007,S,218,B,o,,,,,,,,,,,,,
508,"Mikic-Rakic M. , Mehta N.R. ,  Malek S. ,",Software architectural support for handheld computing,IEEE Comput,,2003,S,218,B,o,,,,,,,,,,,,,
509,Taylor      R.,A classification and comparison framework for software architecture description languages,IEEE Trans. Softw. Eng,,2000,S,218,B,o,,,,,,,,,,,,,
510,"Medvidovic N. , Phadke S. ,",Towards a taxonomy of software connectors,In: ICSE. ACM,,2000,S,218,B,o,,,,,,,,,,,,,
511,"Garcia J. , Bagheri H. ,  Sadeghi A. , Malek   S. ,",Reducing combinatorics in gui testing of android applications,In: Proceedings of ICSE.,,2016,S,218,B,o,,,,,,,,,,,,,
512,"Chipara O. , Griswold W.G. ,",An annotation language and middleware for energy-efficient mobile application development,In: ICSE,,2014,S,218,B,o,,,,,,,,,,,,,
513,"Medvidovic N. , Taylor   R.N.                       .",Architecture-based runtime software evolution,In: Proceedings of the 20th International Conference on Software Engineering,,1998,S,218,B,o,,,,,,,,,,,,,
514,"Medvidovic N. , Taylor   R.N.                       .","Runtime software adaptation: framework, approaches, and styles",In: Companion of the 30th International Conference on Software Engineering. IEEE Comput. Soc.,,2008,S,218,B,o,,,,,,,,,,,,,
515,"Julien C. , Murphy A.L. ,  Musolesi M. , Roman","Software engineering for mobility: reflecting on the past, peering into the future",In: 2014 Future of Software Engineering (FOSE'14),,2014,S,218,B,o,,,,,,,,,,,,,
516,,Alborz: a query-based tool for software architecture recovery,In: Proceedings of the International Workshop on Program Comprehension (IWPC).,,2001,S,218,B,o,,,,,,,,,,,,,
517,,Software architecture recovery based on pattern matching,In: Proceedings of the International Conference on Software Maintenance (ICSM).,,2003,S,218,B,o,,,,,,,,,,,,,
518,"Gennari J. , Camara J. ,  Garlan D. ,",Raindroid - a system for runtime mitigation of android intent vulnerabilities: Poster,In: Proceedings of the 2016 Symposium and Bootcamp on the Science of Security (HotSoS'16).,,2016,S,218,B,o,,,,,,,,,,,,,
519,"Gennari J. , D.   Garlan.",An architecture style for android security analysis: poster,In: Proceedings of the 2015 Symposium and Bootcamp on the Science of Security (HotSoS'15),,2015,S,218,B,o,,,,,,,,,,,,,
520,"Garlan D. ,",Software Architecture: Perspectives on an Emerging Discipline,,,1996,S,218,B,o,,,,,,,,,,,,,
521,"Tzerpos V. ,",Clustering methodologies for software engineering,,,2012,S,218,B,o,,,,,,,,,,,,,
522,"Lemercier M. , Garcia L. ,",Android passive mvc: a novel architecture model for android application development,In: International Conference on Pervasive Patterns and Applications.,,2013,S,218,B,o,,,,,,,,,,,,,
523,"Medivodivc N. , Dashofy E. , R.","Software Architecture: Foundations, Theory, and Practice",,,2009,S,218,B,o,,,,,,,,,,,,,
524,"Medvidovic N. , Anderson K.M. , R. Whitehead James  Robbins   J.E. ,  J.E.",A component- and message-based architectural style for gui software,IEEE Trans. Softw. Eng,,1996,S,218,B,o,,,,,,,,,,,,,
525,"Holt R. ,",Acdc: an algorithm for comprehension-driven clustering,In: Proceedings of the Working Conference on Reverse Engineering (WCRE).,,2000,S,218,B,o,,,,,,,,,,,,,
526,"Gagnon P. , Hendren E. ,  Lam L. , Sundaresan   P. ,  V.",Soot - a java bytecode optimization framework,,,1999,S,218,B,o,,,,,,,,,,,,,
527,,Corba: integrating diverse applications within distributed heterogeneous environments,IEEE Commun. Mag,,1997,S,218,B,o,,,,,,,,,,,,,
528,,Software engineering issues for mobile application development,In: Proceedings of the FSE/SDP Workshop on Future of Software Engineering Research (FoSER'10),,2010,S,218,B,o,,,,,,,,,,,,,
529,"Perry D. ,",Foundations for the study of software architecture,ACM SIGSOFT Softw. Eng. Notes,,1992,S,218,B,o,,,,,,,,,,,,,
530,"Yang M. , Xu B. ,  Yang Z. , Gu   G. ,  Ning P. , Wang X.S. , Zang B. ,",Vetting undesirable behaviors in android apps with permission use analysis,In: Proceedings of the 2013 ACM SIGSAC Conference on Computer and Communications Security. ACM,,2013,S,218,B,o,,,,,,,,,,,,,
531,"Quirolgico, S.; Voas, J.; Kuhn, R.;",Vetting Mobile Apps,"IT Professional , vol.13, no.4, pp.9-11",,2011,S,215,B,o,,,,,,,,,,,,,
532,"Basili, V.; Rombach, H.D.;,"," “Support for Comprehensive Reuse,”"," Software Engineering Journal, IEE British Computer Society, vol. 6(5): 303- 316",,1991,S,215,B,o,,,,,,,,,,,,,
533,"Basili, V.; Briand, L.; Melo, W.;,"," “How Reuse Influences Productivity in Object-Oriented Systems,”"," Communications of the ACM, vol. 39(10): 104-116",,1996,S,215,B,o,,,,,,,,,,,,,
534,"Frakes, W.B.; Kang, K.; ,"," “Software reuse research: status and future,","” Software Engineering, IEEE Transactions on , vol.31, no.7, pp. 529- 536",,2005,S,215,B,o,,,,,,,,,,,,,
535,"Ambler, S. W.",The various types of object-oriented reuse,Computing Canada,,1998,S,215,B,o,,,,,,,,,,,,,
536,"Davies, J.; German, D.M.; Godfrey, M.W.; Hindle, A.; ,"," “Software bertillonage: finding the provenance of an entity,”", In Proceedings of the 8th Working Conference on Mining Software Repositories (MSR ’11).,,2011,S,215,B,o,,,,,,,,,,,,,
537,"Taivalsaari. A;,"," “On the notion of inheritance,”","ACM Comput. Surv. 28, 3",,1996,S,215,B,o,,,,,,,,,,,,,
538,"Denier, S.; Gueheneuc, Y.-G.; ,"," “Mendel: A Model, Metrics, and Rules to Understand Class Hierarchies,”","ICPC . The 16th IEEE International Conference on , vol., no., pp.143-152, 10-13",,2008,S,215,B,o,,,,,,,,,,,,,
539,"Mockus, A.; ,"," “Large-Scale Code Reuse in Open Source Software,”"," Emerging Trends in FLOSS Research and Development, 2007. FLOSS ’07. First International Workshop on , vol., no., pp.7, 20-26 ",,2007,S,215,B,o,,,,,,,,,,,,,
540,"Cardino, G.; Baruchelli, F.; Valerio, A.;,", “The evaluation of framework reusability”,". SIGAPP Appl. Comput. Rev. 5, 2",,1997,S,215,B,o,,,,,,,,,,,,,
541,"Conte, M.T.; Trick, A.R.; Gyllenhaal, J.C.; Hwu, W.W.;,"," “A study of code reuse and sharing characteristics of Java applications,”"," Workload Characterization: Methodology and Case Studies, 1998 , vol., no., pp.27- 35,",,1999,S,215,B,o,,,,,,,,,,,,,
542,"Michail, A.; , ","“Data mining library reuse patterns in user-selected applications,” ","Automated Software Engineering, 1999. 14th IEEE International Conference on. , vol., no., pp.24-33, ",,1999,S,215,B,o,,,,,,,,,,,,,
543,"Michail, A.; ",", “CodeWeb: data mining library reuse patterns,”"," Software Engineering, 2001. ICSE 2001. Proceedings of the 23rd International Conference on , vol., no., pp. 827- 828, 12-19",,2001,S,215,B,o,,,,,,,,,,,,,
544,"Heinemann, L.; Deissenboeck, F.; Gleirscher, M.; Hummel, B.; Irlbeck, M.;, ","“On the extent and nature of software reuse in open source Java projects,”"," In Proceedings of the 12th international conference on Top productivity through software reuse (ICSR’11), Klaus Schmid (Ed.). Springer-Verlag, Berlin, Heidelberg, 207-222",,,S,215,B,o,,,,,,,,,,,,,
545,"Roy, C.K.; Cordy, J.R.; ",", “An Empirical Study of Function Clones in Open Source Software,”"," Reverse Engineering, 2008. WCRE ’08. 15th Working Conference on , vol., no., pp.81-90, 15-18",,2008,S,215,B,o,,,,,,,,,,,,,
546,"Kapser, C.; Godfrey, M.W.; , “","Cloning Considered Harmful,”"," Reverse Engineering, 2006. WCRE ’06. 13th Working Conference on , vol., no., pp.19-28, ",,2006,S,215,B,o,,,,,,,,,,,,,
547,"Hemel, A.; Trygve Kalleberg, K.; Vermaas, R.; Dolstra E.; ","“Finding software license violations through binary code clone detection,”", In Proceedings of the 8th Working Conference on Mining Software Repositories (MSR ’11).,,,S,215,B,o,,,,,,,,,,,,,
548,"Shabtai, A.; Fledel, Y.; Elovici, Y.; ","“Automated Static Code Analysis for Classifying Android Applications Using Machine Learning,”",",  Computational Intelligence and Security (CIS), 2010 International Conference on , vol., no., pp.329-333, 11-14",,2010,S,215,B,o,,,,,,,,,,,,,
549,"Syer, M.D.; Adams, B.; Zou, Y.; Hassan, A.E.;, ","“Exploring the Development of Micro-Apps: A Case Study on the BlackBerry and Android Platforms,”", In Proceedings of the 11th IEEE International Working Conference on Source Code Analysis and Manipulation (SCAM 2011),,2011,S,215,B,o,,,,,,,,,,,,,
550,"Ding, Ning",Modeling and Optimizing Smartphone Energy Consumption,,thesis,2017,S,210,F,o,,,,,,,,,,,,,
551,"Morales Alvarado, Rodrigo",Automated Improvement of Software Design by Search-Based Refactoring,,thesis,2017,S,210,F,o,,,,,,,,,,,,,
552,"Morales, Rodrigo; Saborido, Ruben; Khomh, Foutse; Chicano, Francisco; Antoniol, Giuliano",Anti-patterns and the energy efficiency of Android applications,arXiv preprint arXiv:1610.05711,journalArticle,2016,S,210,F,o,o,,x,x,,,,,,,,,
553,"Georgiou, Stefanos; Kechagia, Maria; Spinellis, Diomidis",Analyzing Programming Languages' Energy Consumption: An Empirical Study,Proceedings of the 21st Pan-Hellenic Conference on Informatics,conferencePaper,2017,S,210,F,o,,,,,,,,,,,,,
554,"Jiang, Hao; Yang, Hongli; Qin, Shengchao; Su, Zhendong; Zhang, Jian; Yan, Jun",Detecting Energy Bugs in Android Apps Using Static Analysis,International Conference on Formal Engineering Methods,conferencePaper,2017,S,210,F,o,,,,,,,,,,,,,
555,"Pereira, Rui; Couto, Marco; Ribeiro, Francisco; Rua, Rui; Cunha, Jácome; Fernandes, João Paulo; Saraiva, João",Energy Efficiency across Programming Languages,,journalArticle,2017,S,210,F,o,,,,,,,,,,,,,
556,"Feghhi, Meysam",Multi-Layer Tracing of Android Applications for Energy-Consumption Analysis,,thesis,2017,S,210,F,o,,,,,,,,,,,,,
557,"Manotas, Irene; Clause, James; Pollock, Lori",Exploring Evolutionary Search Strategies to Improve Applications’ Energy Efficiency,International Symposium on Search Based Software Engineering,conferencePaper,2018,S,210,F,o,,,,,,,,,,,,,
558,"Lyu, Yingjun; Li, Ding; Halfond, William GJ",Remove RATs from your code: automated optimization of resource inefficient database writes for mobile applications,Proceedings of the 27th ACM SIGSOFT International Symposium on Software Testing and Analysis,conferencePaper,2018,S,210,F,o,,,,,,,,,,,,,
559,"Deng, Lin",MUTATION TESTING FOR ANDROID APPLICATIONS,,thesis,2017,S,210,F,o,,,,,,,,,,,,,
560,"Hu, Yan; Yan, Jiwei; Yan, Dong; Lu, Qiong; Yan, Jun",Lightweight energy consumption analysis and prediction for Android applications,Science of Computer Programming,journalArticle,2018,S,210,F,o,,,,,,,,,,,,,
561,"Zhu, Yuhao",Energy-efficient mobile Web computing,,thesis,2017,S,210,F,o,,,,,,,,,,,,,
562,"Martin, WJ",App Store Analysis for Software Engineering,,thesis,2017,S,210,F,o,,,,,,,,,,,,,
563,"Saborido, Rubén; Khomh, Foutse; Hindle, Abram; Alba, Enrique",An App Performance Optimization Advisor for Mobile Device App Marketplaces,Sustainable Computing: Informatics and Systems,journalArticle,2018,S,210,F,o,,,,,,,,,,,,,
564,"Zhuang, Yan",Methods for Improving the Quality of Software Obfuscation for Android Applications,,journalArticle,2017,S,210,F,o,,,,,,,,,,,,,
565,"Hussein, Ahmed Mohamed Abd-elhaffiez",Effective memory management for mobile environments,,journalArticle,2016,S,210,F,o,,,,,,,,,,,,,
566,"Pereira, Rui; Couto, Marco; Ribeiro, Francisco; Rua, Rui; Cunha, Jácome; Fernandes, João Paulo; Saraiva, João","Energy efficiency across programming languages: how do energy, time, and memory relate?",Proceedings of the 10th ACM SIGPLAN International Conference on Software Language Engineering,conferencePaper,2017,S,210,F,o,,,,,,,,,,,,,
567,"Linares-Vásquez, Mario; Bavota, Gabriele; Bernal-Cárdenas, Carlos; Penta, Massimiliano Di; Oliveto, Rocco; Poshyvanyk, Denys",Multi-Objective Optimization of Energy Consumption of GUIs in Android Apps,ACM Transactions on Software Engineering and Methodology (TOSEM),journalArticle,2018,S,210,F,o,,,,,,,,,,,,,
568,"Calderini, Nicolás Nahuel",Estudio acerca de la calidad de artifacts sobre la plataforma Android,,journalArticle,,S,210,F,o,,,,,,,,,,,,,
569,"Ribeiro, Maria Ivanilse Calderon; da Silva, Josiane Rodrigues",Interação na Web Social: Conhecendo as necessidades dos usuários de Aplicações Móveis (Apps) por meio das Avaliações das Apps (Apps Reviews),,journalArticle,,S,210,F,o,,,,,,,,,,,,,
570,"Leuenberger, Manuel; Nierstrasz, Oscar; Osman, Haidar",Nullable Method Detection,,journalArticle,2017,S,210,F,o,,,,,,,,,,,,,
571,"Coutoa, Marco; Cunhac, Jácome; Fernandesd, Joao Paulo; Pereiraa, Rui; Saraivaa, Joao",Analyzing and Classifying Energy Consumption in Android Applications,Science of Computer Programming,journalArticle,2015,S,210,F,o,,,,,,,,,,,,,
572,"Bernal-Cárdenas, Carlos",Improving energy consumption in Android apps,Proceedings of the 2015 10th Joint Meeting on Foundations of Software Engineering,conferencePaper,2015,S,210,F,o,,,,,,,,,,,,,
573,"McIntosh, Andrea K; Hindle, Abram",What should mobile app developers do about machine learning and energy?,PeerJ PrePrints,journalArticle,2016,S,210,F,o,,,,,,,,,,,,,
574,"Song, Zheng Jason; Pu, Jing; Cheng, Junjie; Tilevich, Eli",Performance and programming effort trade-offs of android persistence frameworks,Journal of Systems and Software,journalArticle,2018,S,210,F,o,,,,,,,,,,,,,
575,"Almeida, Mario Manuel Sa Dias; others",Elastic phone: towards detecting and mitigating computation and energy inefficiencies in mobile apps,,journalArticle,2018,S,210,F,o,,,,,,,,,,,,,
576,"Couto, Marco Rafael Linhares",0RQLWRULQJ (QHUJ$\backslash$&RQVXPSWLRQ LQ $ QGURLG $ SSOLFDWLRQV,,journalArticle,2014,S,210,F,o,,,,,,,,,,,,,
577,"Schuler, Andreas",Application of search-based software engineering methodologies for test suite optimization and evolution in mission critical mobile application development,Proceedings of the 2017 11th Joint Meeting on Foundations of Software Engineering,conferencePaper,2017,S,210,F,o,,,,,,,,,,,,,
578,"Nguyen, Anh Tuan",Exploring regularities in software with statistical models and their applications,,journalArticle,2016,S,210,F,o,,,,,,,,,,,,,
579,"Palomba, Fabio; Di Nucci, Dario; Panichella, Annibale; Zaidman, Andy; De Lucia, Andrea",On the impact of code smells on the energy consumption of mobile applications,Information and Software Technology,journalArticle,2018,S,210,F,o,,,,,,,,,,,,,
580,"Chapman, Carl Allen",Usage and refactoring studies of python regular expressions,,journalArticle,2016,S,210,F,o,,,,,,,,,,,,,
581,"Saborido, Rubén; Morales, Rodrigo; Khomh, Foutse; Guéhéneuc, Yann-Gaël; Antoniol, Giuliano",Getting the most from map data structures in Android,Empirical Software Engineering,journalArticle,2018,S,210,F,o,,,,,,,,,,,,,
582,"Chowdhury, Shaiful; Borle, Stephanie; Romansky, Stephen; Hindle, Abram; Chowdhury, Shaiful; Borle, Stephanie; Romansky, Stephen; Hindle, Abram; Saborido, Rubén; Khomh, Foutse; others",GreenScaler: Training Software Energy Models With Automatic Test Generation,Empirical Software Engineering,journalArticle,2017,S,210,F,o,,,,,,,,,,,,,
583,"Lamothe, Maxime; Shang, Weiyi",Exploring the Use of Automated API Migrating Techniques in Practice: An Experience Report on Android,,journalArticle,2018,S,210,F,o,,,,,,,,,,,,,
584,"Westfield, Benjamin; Gopalan, Anandha",Orka: A new technique to profile the energy usage of Android applications,"Smart Cities and Green ICT Systems (SMARTGREENS), 2016 5th International Conference on",conferencePaper,2016,S,210,F,o,,,,,,,,,,,,,
585,"da Silva, Junio Cezar Ribeiro; Pereira, Fernando Magno Quinto; Frank, Michael; Gamatié, Abdoulaye",A Compiler-Centric Infra-Structure for Whole-Board Energy Measurement on Heterogeneous Android Systems,2018 13th International Symposium on Reconfigurable Communication-centric Systems-on-Chip (ReCoSoC),conferencePaper,2018,S,210,F,o,,,,,,,,,,,,,
586,"Pandey, Mamta; Litoriya, Ratnesh; Pandey, Prateek",Impact of various critical factors on Mobile App development based on reviews: An Investigative Study,Technia,journalArticle,2016,S,210,F,o,,,,,,,,,,,,,
587,"Saborido Infantes, Rubén",Assisting Developers and Users in Developing and Choosing Efficient Mobile Device Apps,,thesis,2017,S,210,F,o,,,,,,,,,,,,,
588,"Campos, Edmilson; Kulesza, Uirá; Coelho, Roberta; Bonifácio, Rodrigo; Mariano, Lucas",Unveiling the Architecture and Design of Android Applications,Proceedings of the 17th International Conference on Enterprise Information Systems-Volume 2,conferencePaper,2015,S,210,F,o,,,,,,,,,,,,,
589,"Sahin, Cagri",Empirically investigating energy impacts of software engineering decisions,,thesis,2017,S,210,F,o,,,,,,,,,,,,,
590,"Parno, Bryan",The magazine archive includes every article published in Communications of the ACM for over the past 50 years.,Communications of the ACM,journalArticle,2012,S,210,F,o,,,,,,,,,,,,,
591,"Linares-Vásquez, Mario; Bernal-Cárdenas, Carlos; Bavota, Gabriele; Oliveto, Rocco; Di Penta, Massimiliano; Poshyvanyk, Denys",GEMMA: multi-objective optimization of energy consumption of GUIs in Android apps,Proceedings of the 39th International Conference on Software Engineering Companion,conferencePaper,2017,S,210,F,o,,,,,,,,,,,,,
592,"Moran, Kevin; Bernal-Cárdenas, Carlos; Linares-Vásquez, Mario; Poshyvanyk, Denys",Overcoming language dichotomies: toward effective program comprehension for mobile app development,Proceedings of the 26th Conference on Program Comprehension,conferencePaper,2018,S,210,F,o,,,,,,,,,,,,,
593,"Couto, Marco",Monitoring energy consumption in android applications,,thesis,2014,S,210,F,o,,,,,,,,,,,,,
594,"Di Nucci, Dario; Palomba, Fabio; Prota, Antonio; Panichella, Annibale; Zaidman, Andy; De Lucia, Andrea",Petra: a software-based tool for estimating the energy profile of android applications,Proceedings of the 39th International Conference on Software Engineering Companion,conferencePaper,2017,S,210,F,o,,,,,,,,,,,,,
595,"Romansky, Stephen; Borle, Neil C; Chowdhury, Shaiful; Hindle, Abram; Greiner, Russ",Deep Green: modelling time-series of software energy consumption,"Software Maintenance and Evolution (ICSME), 2017 IEEE International Conference on",conferencePaper,2017,S,210,F,o,,,,,,,,,,,,,
596,"Osman, Haidar; Nierstrasz, Oscar Marius",Empirically-Grounded Construction of Bug Prediction and Detection Tools,,thesis,2017,S,210,F,o,,,,,,,,,,,,,
597,"Procaccianti, Giuseppe",Energy-Efficient Software,,journalArticle,2015,S,210,F,o,,,,,,,,,,,,,
598,"Cruz, Luis; Abreu, Rui",Using Automatic Refactoring to Improve Energy Efficiency of Android Apps,arXiv preprint arXiv:1803.05889,journalArticle,2018,S,210,F,o,,,,,,,,,,,,,
599,"Wang, Chengke; Guo, Yao; Shen, Peng; Chen, Xiangqun",E-Spector: Online energy inspection for Android applications,"Low Power Electronics and Design (ISLPED, 2017 IEEE/ACM International Symposium on",conferencePaper,2017,S,210,F,o,,,,,,,,,,,,,
600,"Georgiou, Stefanos; Kechagia, Maria; Louridas, Panos; Spinellis, Diomidis",What are your programming language's energy-delay implications?,Proceedings of the 15th International Conference on Mining Software Repositories,conferencePaper,2018,S,210,F,o,,,,,,,,,,,,,
601,"Francese, Rita; Gravino, Carmine; Risi, Michele; Scanniello, Giuseppe; Tortora, Genoveffa",Estimate method calls in Android apps,"Mobile Software Engineering and Systems (MOBILESoft), 2016 IEEE/ACM International Conference on",conferencePaper,2016,S,210,F,o,,,,,,,,,,,,,
602,"Aponso, GCAL",Effective Memory Management for Mobile operating Systems,American Journal of Engineering Research (AJER),journalArticle,2017,S,210,F,o,,,,,,,,,,,,,
603,"Rahman, Mohammed Mustaqim; others",Analysing API calls to reduce energy consumption of apps in idle states,,journalArticle,2017,S,210,F,o,,,,,,,,,,,,,
604,"McIntosh, Andrea; Hassan, Safwat; Hindle, Abram",What can Android mobile app developers do about the energy consumption of machine learning?,Empirical Software Engineering,journalArticle,2018,S,210,F,o,,,,,,,,,,,,,
605,"Inozemtseva, Laura Michelle McLean",Data Science for Software Maintenance,,journalArticle,2017,S,210,F,o,,,,,,,,,,,,,
606,"Habchi, Sarra; Blanc, Xavier; Rouvoy, Romain",On adopting linters to deal with performance concerns in Android apps,ASE18-Proceedings of the 33rd IEEE/ACM International Conference on Automated Software Engineering,conferencePaper,2018,S,210,F,o,,,,,,,,,,,,,
607,"ENERGY, A REFACTORING APPROACH TO IMPROVE",Gustavo Henrique Lima Pinto,,journalArticle,,S,210,F,o,,,,,,,,,,,,,
608,"Ding, Ning; Hu, Y Charlie",GfxDoctor: A Holistic Graphics Energy Profiler for Mobile Devices,Proceedings of the Twelfth European Conference on Computer Systems,conferencePaper,2017,S,210,F,o,,,,,,,,,,,,,
609,"Kong, Pingfan; Li, Li; Gao, Jun; Liu, Kui; Bissyandé, Tegawendé F; Klein, Jacques",Automated Testing of Android Apps: A Systematic Literature Review,IEEE Transactions on Reliability,journalArticle,2018,S,210,F,o,,,,,,,,,,,,,
610,"Procaccianti, Giuseppe; Lago, Patricia; Diesveld, Wouter",Energy efficiency of orm approaches: an empirical evaluation,Proceedings of the 10th ACM/IEEE International Symposium on Empirical Software Engineering and Measurement,conferencePaper,2016,S,210,F,o,,,,,,,,,,,,,
611,"Oliveira, Wellington; Oliveira, Renato; Castor, Fernando",A study on the energy consumption of Android app development approaches,"Mining Software Repositories (MSR), 2017 IEEE/ACM 14th International Conference on",conferencePaper,2017,S,210,F,o,,,,,,,,,,,,,
612,"Abtahizadeh, S Amirhossein; Khomh, Foutse; Guéhéneuc, Yann-Gaël",How green are cloud patterns?,"Computing and Communications Conference (IPCCC), 2015 IEEE 34th International Performance",conferencePaper,2015,S,210,F,o,,,,,,,,,,,,,
613,"Saborido, Rubén; Khomh, Foutse; Antoniol, Giuliano; Guéhéneuc, Yann-Gaël",Comprehension of ads-supported and paid Android applications: are they different?,Proceedings of the 25th International Conference on Program Comprehension,conferencePaper,2017,S,210,F,o,,,,,,,,,,,,,
614,"Carção, Tiago Alves",Spectrum-based energy leak localization,,thesis,2014,S,210,F,o,,,,,,,,,,,,,
615,"Brownlee, Alexander Edward Ian; Burles, Nathan; Swan, Jerry",Search-based energy optimization of some ubiquitous algorithms,IEEE Transactions on Emerging Topics in Computational Intelligence,journalArticle,2017,S,210,F,o,,,,,,,,,,,,,
616,"Kim, Chang Hwan Peter; Kroening, Daniel; Kwiatkowska, Marta",Static program analysis for identifying energy bugs in graphics-intensive mobile apps,"Modeling, Analysis and Simulation of Computer and Telecommunication Systems (MASCOTS), 2016 IEEE 24th International Symposium on",conferencePaper,2016,S,210,F,o,,,,,,,,,,,,,
617,"Couto, Marco; Pereira, Rui; Ribeiro, Francisco; Rua, Rui; Saraiva, João",Towards a Green Ranking for Programming Languages,Proceedings of the 21st Brazilian Symposium on Programming Languages,conferencePaper,2017,S,210,F,o,,,,,,,,,,,,,
618,"Pinto, Gustavo; Castor, Fernando",Energy efficiency: a new concern for application software developers,Communications of the ACM,journalArticle,2017,S,210,F,o,,,,,,,,,,,,,
619,"Li, Deguang; Guo, Bing; Shen, Yan; Li, Junke; Huang, Yanhui",The evolution of open-source mobile applications: An empirical study,Journal of software: Evolution and process,journalArticle,2017,S,210,F,o,,,,,,,,,,,,,
620,"Li, Li",Mining androzoo: A retrospect,"Software Maintenance and Evolution (ICSME), 2017 IEEE International Conference on",conferencePaper,2017,S,210,F,o,,,,,,,,,,,,,
621,"Ishag, MUSA IBRAHIM M; Park, HW; Li, DINGKUN; Ryu, KH",Highlighting current issues in API usage mining to enhance software reusability,"Proceedings of the 15th International Conference on Software Engineering, Parallel and Distributed Systems, SEPADS",conferencePaper,2016,S,210,F,o,,,,,,,,,,,,,
622,"Moran, Kevin; Linares-Vásquez, Mario; Poshyvanyk, Denys",Automated GUI testing of Android apps: from research to practice,Proceedings of the 39th International Conference on Software Engineering Companion,conferencePaper,2017,S,210,F,o,,,,,,,,,,,,,
623,"Li, Li",Boosting static security analysis of android apps through code instrumentation,,thesis,2016,S,210,F,o,,,,,,,,,,,,,
624,"Leuenberger, Manuel; Osman, Haidar; Ghafari, Mohammad; Nierstrasz, Oscar",KOWALSKI: Collecting API clients in easy mode,"Software Maintenance and Evolution (ICSME), 2017 IEEE International Conference on",conferencePaper,2017,S,210,F,o,,,,,,,,,,,,,
625,"Pinto, Gustavo Henrique Lima",A refactoring approach to improve energy consumption of parallel software systems,,journalArticle,2015,S,210,F,o,,,,,,,,,,,,,
626,"Verdecchia, Roberto; Saez, René Aparicio; Procaccianti, Giuseppe; Lago, Patricia",Empirical Evaluation of the Energy Impact of Refactoring Code Smells,5th International Conference on ICT for Sustainability,conferencePaper,2018,S,210,F,o,,,,,,,,,,,,,
627,"Lyu, Yingjun; Gui, Jiaping; Wan, Mian; Halfond, William GJ",An Empirical Study of Local Database Usage in Android Applications,"Software Maintenance and Evolution (ICSME), 2017 IEEE International Conference on",conferencePaper,2017,S,210,F,o,,,,,,,,,,,,,
628,"Chowdhury, Shaiful; Di Nardo, Silvia; Hindle, Abram; Jiang, Zhen Ming Jack",An exploratory study on assessing the energy impact of logging on Android applications,Empirical Software Engineering,journalArticle,2018,S,210,F,o,,,,,,,,,,,,,
629,"Pereira, Rui",Locating energy hotspots in source code,Proceedings of the 39th International Conference on Software Engineering Companion,conferencePaper,2017,S,210,F,o,,,,,,,,,,,,,
630,"Sahin, Cagri; Pollock, Lori; Clause, James",From benchmarks to real apps: Exploring the energy impacts of performance-directed changes,Journal of Systems and Software,journalArticle,2016,S,210,F,o,,,,,,,,,,,,,
631,"Li, Li; Bissyandé, Tegawendé F; Le Traon, Yves; Klein, Jacques",Accessing inaccessible android apis: An empirical study,"Software Maintenance and Evolution (ICSME), 2016 IEEE International Conference on",conferencePaper,2016,S,210,F,o,,,,,,,,,,,,,
632,"Zhu, Yuhao; Reddi, Vijay Janapa",GreenWeb: language extensions for energy-efficient mobile web computing,ACM SIGPLAN Notices,journalArticle,2016,S,210,F,o,,,,,,,,,,,,,
633,"Malavolta, Ivano; Procaccianti, Giuseppe; Noorland, Paul; Vukmirović, Petar",Assessing the impact of service workers on the energy efficiency of progressive web apps,Proceedings of the 4th International Conference on Mobile Software Engineering and Systems,conferencePaper,2017,S,210,F,o,,,,,,,,,,,,,
634,"Saborido, Rubén; Beltrame, Giovanni; Khomh, Foutse; Alba, Enrique; Antoniol, Giuliano",Optimizing user experience in choosing android applications,"Software Analysis, Evolution, and Reengineering (SANER), 2016 IEEE 23rd International Conference on",conferencePaper,2016,S,210,F,o,,,,,,,,,,,,,
635,"Pereira, Rui; Carção, Tiago; Couto, Marco; Cunha, Jácome; Fernandes, João Paulo; Saraiva, João",Helping programmers improve the energy efficiency of source code,"Software Engineering Companion (ICSE-C), 2017 IEEE/ACM 39th International Conference on",conferencePaper,2017,S,210,F,o,,,,,,,,,,,,,
